Nom;Fonction;Adresse;Tel;Site Web
Aurélie Coppée Web designer Infographiste;Web designer Infographiste;177 rue de Gien Ouzouer-sur-Loire (45570);0770268854;https://www.acwi.fr/
Antoine Brun;Graphiste Webdesigner Intégrateur;66 quai clemenceau Caluire-et-Cuire (69300);0469672124;https://webdesigner-lyon.com/
SP DIGITAL;Community Manager, Rédactrice web, Consultante en Web Marketing et social Media;Orléans (45000);0612210331;http://www.sp-digital.fr
AllSite;Entrepreneur - Créateur de sites internet;Enghien-les-Bains (95880);0652383113;http://allsite.fr
David Jasienski - Distributeur It Works;Distributeur Indépendant It Works;Andancette (26140);0612215794;http://davidj.itworkseu.com
Ethik & Développement;Consultant indépendant en ingénierie sociale et médico-sociale;Verneuil-l'Étang (77390);0663058657;http://www.ethik-developpement.fr
Authentic English Language Studio;Formatrice en Anglais;124 Grand Rue Horbourg-Wihr (68180);0602123724;http://coursdanglaiscolmar.education/
Au Dodo Créatif;Créatrice de confort animalier;11 bis avenue d'aléry Annecy (74000);0646462968;http://www.audodocreatif.fr
sb formations;Consultante-formatrice en informatique/bureautique;Rouen (76000);0660159313;https://www.formation-informatique-rouen.fr/
simon terracole;simon terracole;21 rue d'Angleterre Nantes (44000);0619586361;http://simon-terracole.fr
Advendia;Agence marketing digital;136 rue d'assas Paris 6 (75006);0173755150;https://advendia.fr
Frederick Loriot;graphiste;23 avenue Pierre et Marie Curie Bourges (18000);0659585084;http://frederickloriot.fr
Yoann UZAN - Freelance SEM;Freelance AdWords - Spécialiste Google;10 rue de la verrerie Cannes (06150);0661543050;https://www.yoannuzan.com/
Skogest;Prestataire conseils organisations et gestion;Cergy (95000);0612527840;
Aurélie FROGER;Ecrivain public;Albertville (73200);0667302655;http://www.biograf.fr
Alexandre NICOLET;Influenceur jeux vidéo;Reims (51100);;http://www.youtube.com/user/Kazhamania
Artmaquin;Infographiste-Graphiste-Journaliste rédacteur graphisite;6 place de l'église Donnery (45450);0682000157;http://www.artmaquin.com/
L'ATELIER INFORMATIQUE;INFORMATIQUE;2 RUE DES BUTTES Noyal-Muzillac (56190);0297486764;HTTPS://WWW.ATELIER-INFO56.COM
emilie vella;graphiste;Emilie VELLA 11, Rue Flora Tristan Avignon (84000);+33672059640;https://www.graphandco.fr
Bambinservices +;Garde d'enfants, ménage, repassage;Paris 18 (75018);0671336388;http://www.bambinservices-99.webself.net
William Buosi;Soutien scolaire à domicile;4 Quartier Santarailles Viscos (65120);0608774735;https://williambuosi.wixsite.com/accueil
Alexandre MEDINA - Cartographe indépendant;Cartographe;Paris 1 (75001);;
Lhmiza Shop;boutique en ligne;Bd Mohammed 6 casablanca (93000);0670-84-2203/0649-38-1037;https://www.lhmiza.ma/fr/
Hypnose Orvault - Sabrina Pitrel;Hypnothérapeute;95 rue de la Patouillerie Orvault (44700);0678691662;
Informat'Yves;dépannage et assistance informatique et internet à domicile;63 rue blanquerie Limoux (11300);0698601199;http://informatyves.chez.com
orianne 67  strasbourg;voyante medium;14 rue touraine Strasbourg (67100);0608782045;https://www.orianne67.com
ProdAyrton;Vidéaste - Monteur Vidéo;Savigny-le-Temple (77176);0628988067;https://m.facebook.com/profile.php?id=1018510225005554&ref=content_filter
Alexia OLONA - Translation Spirit;Traductrice technique EN-FR;Velaine-en-Haye (54840);;https://translationspirit.com
Urgencemicro;Assistance informatique à domicile;4 avenue le corbeiller Meudon (92190);0145344318;https://www.urgencemicro.com
Pauline Ragni / Luma Graphic;Graphiste - Illustratrice;Nice (06000);0671980302;http://www.lumagraphic.com
videoweb13.fr;vidéaste, cadreur-monteur;56 Grand Draille Fontvieille (13990);0490548565;http://videoweb13.fr
BOUTIQUEBOHOCHICBOHEME2010;COMMERCANT EN PRET A PORTER;10 RUE DES ECOLES La Charité-sur-Loire (58400);0386700371;http://www.boutiquebohochicboheme2010.com
BENAVOLI Lucas;Secrétaire Indépendant à Domicile;Wintzenheim (68920);0645660856;http://www.elp-chrono.fr
Gael Lemouton;Formation Wordpress à Caen;14 rue de Beaulieu Caen (14000);0614766796;https://www.revenons-a-nos-moutons.com/formation/formation-wordpress/
les Gribouillis du Poulpe Râleur;Bijoutier;11 rue serviez PAU Pau (64000);;https://www.lesgribouillisdupoulperaleur.com/
Filipa DOS SANTOS;sophrologue;21 rue mondésir Nantes (44000);0643928649;https://www.sophronantes.fr/
Strategik;Conseil en certification ISO 9001;8 place du théâtre La Ciotat (13600);;https://www.strategik.net/
JDInformatique;Consultant informatique;Ronchin (59790);0613603013;
Philippe STRICOT;psychologue clinicien psychanalyste psychomotricien;6 rue de la Saône Paris 14 (75014);0626571638;https://www.stillpointspaces.com/counselors/517
Webdevoo;Développeur intégrateur en réalisation d'applications web - Concepteur de sites web;25 rue de la vallée Cahon (80132);0750474757;https://webdevoo.com
PodoElements;Fabrication d'éléments pour semelles;lieu dit Julians Hure (33190);;https://www.podoelements.fr
Masecrétaire.com;télésecrétaire;39 rue du breuil Aboën (42380);0609928225;http://www.masecretaire.online
BAO 57;Secrétaire indépendant;Hesse (57400);0604179720;http://Bao57.fr
Anaïs CALMON;Directrice Artistique Print & Digital;Bordeaux (33000);0673176075;https://www.anais-calmon.fr/
SdP-Photography;Photographe;OETING (57600);0629618002;http://www.sdp-photography.fr
La Clef Du Secrétariat;Consultante administrative;Jetterswiller (67440);0675948419;https://www.laclefdusecretariat.fr
Ulrick LECAUDEY;Conseiller en Gestion de Patrimoine;Saint-Jean-Lasseille (66300);0610292254;
Proxym'IT;Prestataire de services informatiques / Infogérance;5 rue Pasteur Cormeilles-en-Vexin (95830);0615089615;https://www.proxymit.fr
THALIEDOM 18;Secrétaire indépendante;Saint-Germain-des-Bois (18340 );0789468885;
ECDM-Consult;Economiste de la construction / Deviseur - Métreur;2, Rue de la Vignette Malandry (08370);0622732079;https://ecdm-consult.business.site/
Data Privacy Professionals;Société de conseil: DPO (délégué à la protection des données), accompagnement RGPD, cybersécurité;29 rue des jardins Eschau (67114);0606784965;http://www.dataprivacy.pro
NATHALIE FAVROU;PERMANENCE TELEPHONIQUE MÉDICALE Votre métier;5 RUE DE SOUPON Laruns (64440);0622633849;
it-fr-traductions;traducteur;D1 rue du Général René Keller Aix-en-Provence (13090);0664375587;https://it-fr-traductions.jimdo.com
JOSEPHINE MAHINIS;ASSISTANTE ADMINISTRATIVE;Pertuis (84120);0631237675;
LT Agency;Office Manager / Gestion Administrative;Antony (92160);0663550920;https://ltagency.fr/
Ma Secrétaire préférée;Secrétaire indépendante;La Garde (83130);0781861279;http://www.masecretairepreferee.fr
Vingt Quatre-Vingt;gestion administrative, commerciale et financière;148 chemin du castellas Saint-Martin-de-la-Brasque (84760);0629933408;https://www.20-80-office.fr/
ORANGE ADMINISTRATIF;Secrétaire Indépendante;15 rue Sainte-Beuve Orange (84100);0675422585;https://www.orangeadministratif.com
AJ Partners;Assistante Indépendante;275 Route de Seysses Bat A15 Toulouse (31100);0622471948;https://www.ajpartners-assistante.com/
Laure EYSSARTIER;Assistante commerciale indépendante;Consac (17150);0674721685;https://eneeds-btob.com
KALIPSO;secretariat;48 RUE DES EDELWEISS Bruguières (31150);0582957262;http://www.kalipso.sitew.fr
Karen Cliche;Secrétaire indépendante;Montroty (76220);0699884856;
AGAD16-17;Assistance à la gestion administrative;3 rue du canton Guérin ARCHIAC (17520);688928811;http://www.agad16-17.fr
Corinne Assist';Assistante de gestion indépendante;Armoy (74200 );0689215158;http:www.corinneassist.fr
Erg réflexologie;Bien être, réflexologie palmaire, cranio-faciale, auriculairee;Jouques (13490);0615247321;
Anne DURAND;Auriculothérapeute;9 rue Artaud Lyon (69004);0649859268;http://www.auriculotherapeute.fr
CONSEIL GESTION SERVICE;Conseiller auprès des professionnels commerçant, artisans et profession libérale;4 allée des guarrigues Champcevinel (24750);0972641760;http://www.conseilgs.fr
Caducée Office;secrétaire médicale indépendante;5 route de Thann Aspach-le-Haut (68700);+33618488470;https://caduceeoffice.business.site/
La Maison de Toutou;Pension familiale pour petits chiens.;1 lieu dit Fage Arveyres (33500);0661932181;
Anne Krattinger;Traductrice de l'anglais/italien vers le français;Dampierre-les-Bois (25490);;
Consulvatis;Architecte;Montauban (82000);0983010097;http://www.consulvatis.fr
Carole Mariet Design Graphique;Graphiste;22 Boulevard Raymond Poincaré Rennes (35700);0608862910;http://www.carole-mariet.fr
La Plume de Chélisa;E-SECRÉTAIRE;18 rue de la Vallée Autheuil-Authouillet (27490);0612416410;http://la-plume-de-chelisa.fr
Camille Boyer design graphique;Graphiste;Halle Tropisme, bureau n° 20 121 rue de Fontcouverte Montpellier (34070);0618631900;http://www.camilleboyer.fr
SECATHOME;Permanence Téléphonique Médicale et Juridique - Secrétaire;7 route de Corlier CHATILLON DE CORNELLE Boyeux-Saint-Jérôme (01640);0973031003;https://www.secretariatathome.fr/426298404
Candy Jones;Assistante;Sannois (95110);;
Seven Leagues;Photographe;Chemin de la Grangette Nord Penne-d'Agenais (47140);0778248481;http://seven-leagues.net
BILOBA CSL;EXTERNALISATION ADMINISTRATIVE;37 IMPASSE DES AMANDIERS La Destrousse (13112);06.80.14.87.67;
Mélanie Cambier;Secrétaire Indépendante;Ferrière-la-Grande (59680);0950833488;http://meladmin.wixsite.com/accueil
AD Secrét’AIR - Angélique Di Lelio;Secrétaire indépendante;Cuges-les-Pins (13780);0610783853;
Céline VAULOUP;Consultante communication et marketing;Thiais (94320);0663967300;
Aide technique éconologique;Conseiller, formateur sur les nouvelles technologies, informatique, multimédia, électro-ménager;171 RUE DE FRÉDEVILLE Saint-Jean-de-Braye (45800);0667360141;https://aidetechniqueconomique.jimdo.com/
Annamorfoz;Créatrice de bijoux;Strasbourg (67000);;https://annamorfoz.com
Cap'Ad Orientation et Psychopédagogie;Psychopédagogue Formatrice;15 CHEMINEMENT MAXIME LACONDE RESIDENCE TOPAZE A03 Blagnac (31700);0699320912;http://cap-ad.fr
Guillaume Mielle;énergéticien;12 route de Mauriac lieu dit LESTRADE Gros-Chastang (19320);0698125152;https://ayamjesuis.jimdo.com/
LJN Menuiserie et agencement;Pose des menuiseries et agencement;19 avenue de paris Soisy-sous-Montmorency (95230);0623475189;
Conseils Atoupri;Consultante en gestion administrative et juridique;Paris 13 (75013);;
PHIMULTISERVICES;menuisier multiservices batiment;allée des perrières Thônes (74230);0670145711;
Mélanie Sablitch Assistante Indépendante;Assistante Administrative Indépendante;Vaucresson (92420);0789213377;https://www.melaniesablitch.com/
Melting Films;Production audiovisuelle;59 avenue Etienne Billières Toulouse (31300);0761475839;https://meltingfilms.com/
Christian borderie;Agent commercial;Puteaux (92800 );0610854893;
ISIS Conseil;Conseil en Management;26 Avenue Duchesne Romans-sur-Isère (26100);0686275497;
Christophe kiener;Réparation automobile, vente de pièces et accessoires automobiles;Les ombrées 42 allée Guy de Maupassant Martigues (13500);0663941433;http://www.dreautomobiles.fr
Loïc Dubois - Collaborateur d’architecte;Collaborateur d’architecte;Paillet (33550);0659721291;https://www.permis-maisons.com
Benjamin Desné Photographie;Photographe;72 Rue de la plaine Angerville (91670);0756961850;https://www.benjamin-desne-photographie.fr
RMS - Multi Service - Rénovation;Revêtements murs et sols - Plombier;Tourcoing (59200);06/26/86/56/82;
Harmony Com;Communication pour TPE;21 bis rue Ernest Renan Paimpol (22500);0296208764;https://www.harmony-com.fr
e-Office Assistante;Assistante administrative indépendante;Paris 20 (75020);0613726000;https://www.eofficeassistante.fr/
GIAMBRA Consulting;Conseil Marketing Digital;31 RUE DU SIROCCO Cesson (77240);+33660204697;https://www.giambra-consulting.fr
kamarel;vente de lingerie, joujoux et accessoires sur site et ventes en réunion;5 rue des maréchaux Dieppe (76200);0605485661;https://kamarellingerie.com
Ma Classe Voyage;Agence de Voyage spécialisée;4 chemin de Lamballard Bretteville-sur-Odon (14760);0231731394;https://www.maclassevoyage.com
In-Stack;Consultant informatique - Développeur - Administrateur;Le Grand-Quevilly (76120);0789224423;https://in-stack.fr
MURIELLE THEZENAS;Consultante - Prestataire en formation professionnelle d'adultes;11 RUE DU ROUERGUE Chevilly-Larue (94550);0681418123;
Une pointe d'épices;Designer graphique;Lecelles (59226);;http://Www.unepointedepices.com
Treinnomad;Traducteur et interprète;Rennes (35000);0635921918;http://www.treinnomad.com
polybri;Traducteur Rédacteur;44 rue de Vern Rennes (35200);0671496216;http://www.polybri.com/
Richard Besson;Intégrateur Web Drupal et Wordpress;Méounes-lès-Montrieux (83136);;https://www.bessonweb.fr
Virginie Pomme;Styliste textile, couturière;19, Grande rue L'Hermitage (35590);0671753362;
Les Web Conseils d'Audrey;Conceptrice WebDesign & Stratégie digitale;78 RUE DU GENERAL DE GAULLE Pierry (51530);0626804378;https://leswebconseilsdaudrey.fr
L'e-mobilier du particulier;Coach immobilier;Saint-Laurent-d'Andenay (71210);0610390057;
Franck Oinne Photographe;Photographe;Carcassonne (11000);0680996255;http://www.franck-oinne.com
iPhumat;Réparation d'iPhone en Essonne;6 Rue du Bois Sauvage ÉVRY (91000);0638609892;https://iphumat.com
CLDésigner1;Développeur web;49 rue du général de gaulle appartement 1 étage 3 Cambrai (59400);0750312176;https://www.cldesigner1.com/
SECRET DE CLAVIER;SECRÉTAIRE INDEPENDANTE;avenue du dauphiné Charantonnay (38790);0634025813;https://www.secretdeclavier.fr
Emmanuel M.;Coach Bien-être Médium Numérologue;13, route de Choisy La Balme-de-Sillingy (74330);;https://www.emmanuelm.fr/
Kaa Couture;Créatrice de robes de mariée;17 bis rue cavenne Lyon (69007);0625517422;http://www.kaacouture.com
Bureau-PF;Assistante administrative et comptable;Nancy (54000);;
BETBLONDEL;DESSINATEUR et MAÎTRISE D'ŒUVRE  BÂTIMENT;124 avenue des champs lasniers Ulis (91940);0630730418;https://www.betblondel.fr/
Marielle HARMENIL;Assistante Administrative pour TPE - en ligne - France entière et DOM;Créteil (94000);;https://assistante-administrative.fr
Wolf Conceptions;Développeur digital;Céreste (04280);0779590471;https://www.wolfconceptions.fr/
Chanuc Marie-caroline;Secrétaire indépendante;Brignon (30190);;http://www.my-e-secretaire.fr
Emmanuelle LECOMTE ESSENTIEL CONSEIL;psychotherapie;20 rue de Lappe 20 rue de Lappe Paris 11 (75011);0607776439;http://www.1-psy.fr
Virginie de Bourbon Formations;Formation Santé Sécurité au Travail- SST-APS ASD-RPS-Gestes et Postures;15 Place aux Aires Grasse (06130);0615433343;http://www.V2BP.net
Fabien Dardennes;Cadreur   Monteur   Vidéaste   Réalisateur;66 rue d'Allonville Nantes (44000);0608971731;https://www.fabiendardennes.com
Yassine marie-claire;nettoyage courant des bâtiments;101, Rue nationale Saint-Porchaire (17250);0634467007;https://yassine-marie-claire.business.site/?utm_source=gmb&utm_medium=referral
Ardèche eco construction rénovation;Bâtiment tous corps d'états;Aubenas (07200);0659548655;https://www.ardecheecr07.com
HELENE CHARIER;Coach en entreprise, IPRP et formatrice;Lille (59000);+33661342332;http://www.helenecharier.fr
Mado-Pro Formations;Formatrice en langues;3, Rue Bourneuf et Dampierre Conflans-Sainte-Honorine (78700);0664595793;http://mado-pro.fr/index.php
Herba Natura;Conseillère en phytothéraie et plantes médicinales;Toulouse (31000);;https://herbanatura.fr
Ecoute Sophrologie;Sophrologue;25 HAMEAU DU MAINE Sainte-Luce-sur-Loire (44980);0675488316;https://ecoutesophrologie.fr
Emilie Miquet;Assistance administrative;Paris 1 (75001);;
Arc en ciel prestations;Aménagements et finitions du bâtiment;61 GRAND RUE Hannonville-Suzémont (54800);0662341165;
AMI des mots;Ecrivain public;9 chemin des aires Meynes (30840);0612462400;http://www.amidesmots.fr
Consulthea;Consultant - Conseil en entreprise;4, impasse du verger Le Mathy Vaux-en-Beaujolais (69460);0684178622;https://www.consulthea.fr
Nicolas Cestari;Consultant et Formateur SEO;Bordeaux (33000);;http://nicolascestari.fr
Randal Do;Thérapeute de couple;4bis rue Fanouris Port-de-Bouc (13110);0681826390;https://www.randal-do.com
NOTA Secrétariat;Secrétaire indépendante;Beauvilliers (89630);0643963685;https://nota-secretariat.fr
ML Dangléant - Votre Télésecrétaire;Télésecrétaire - Assistance administrative en télétravail;Saint-Arnoult-en-Yvelines (78730);0760430080;https://telesecretariatassistance.wordpress.com/
ERIC BEAU eirl d'architecture;Architecte;4, allée de Bellevue Chanoz-Châtenay (01400);0778070252;http://www.ericbeau.com
KARINE ROBERT;CONTROLEUR DE GESTION;Courbevoie (92400);0683290879;
Justine Le Carrou;Traductrice;Brest (29200);0766581515;https://www.linkedin.com/in/justine-le-carrou/
Cédric Magnan;Dessinateur - Projeteur en bâtiment;9 rue de mimont Cannes (06400);0670208965;https://drico.fr/
Mtm peinture;Peintre en bâtiment;Tarbes (65000);0661514507;http://www.mtm-peinture.com
David Ramos Électricité;installation et dépannage électrique;390A route de st gervais Charols (26450);0695403359;https://www.facebook.com/david.ramos.elec
Mond'animaux;"Services animaliers au domicile du client : éducatrice ; comportementalist ; promenade chien ; garde chiens, chats, petits mammifères, oiseaux et poissons ; soins ; conseils";Châtenois-les-Forges (90700);0668076941;
MON POSEUR PERSO;installation, pose de cuisine;Nommay (25600);;
Aux Soins d'Angéline;esthéticienne à domicile;Grosmagny (90200);0688873395;
BELFORT 2S IMPRESSION;IMPRIMEUR TOUS SUPPORTS;6 lotissement des prés de l'étang Belfort (90000);0622496055;
UEBU;CREATION SITE INTERNET;Sochaux (25600);;https://www.uebu.fr
RAYMOND MATTHIEU CARRELAGE;CARRELEUR - MOSAISTE;Pulnoy (54425);0674874779OU0679682424;https://www.carrelage-raymond.fr/
Sabrina Aubut;Traductrice;Paris 14 (75014);0616353405;
La Petite Souris du Secrétariat;Secrétaire Indépendante pour professionnels et particuliers;Beaugency (45190);0623195775;http://severine-secretaire-independante.fr/
Michel Amiaud;Prestataire de services spécialisés en Finance/Achats;Clermont-Ferrand (63000);0631532096;
Agence digitale IRONY - Créateur de site internet et stratégie digitale;Agence digitale - Créateur de site internet et stratégie digitale;Villeurbanne (69100);0634167643;http://www.irony.fr
LnGraph;Graphiste;Lens (62300);0626371102;https://lngraphcom.wordpress.com/
Shiatsu thérapie odavia;Praticienne Médecine Chinoise et Japonaise;114 BIS avenue Jean Jaurès Bruges (33520);0685562192;http://shiatsu-therapie.odavia.com/
Duru nettoyage;Agent de nettoyage;108 rue de la montat Saint-Étienne (42100);0769939094;
A.I.Cpro;Assistante Administrative et Commerciale Indépendante;Mérignac (33700);;http://aicpro.fr
Notes d’Or;Professeur de violoncelle et de piano;Beaune (21200);0617974345;http://www.notesdor.com
COACHINGESTION;ASSISTANT DE GESTION,PME, ARTISANS,COMMERÇANT;8 RUE DE L'HUILERIE Fontaine-Fourches (77480);0662632549;
Footprints Tour / Sophie Hof;Guide-conférencier;Colmar (68000);0632493145;http://www.footprintstour.eu/index.php?page=home&l=fr
Scribalys;Ecrivain public;262, rue des Mandres Mirepoix-sur-Tarn (31340);+33623124374;http://www.scribalys.fr
Theulier Muriel;Sophrologue et Lithothérapeute;91 rue grollay Mazé (49630);0679727790;https://www.facebook.com/Theuliermurielsophro-609627082786943/
Célin'Nails;Prothésiste ongulaire;Sainte-Marie (66470);0670886128;https://nails66.wixsite.com/celin-nails
CIRCUMCREA;Rédactrice web;20 rue du Point du Jour Angoulême (16000);;https://circumcrea.com
Sara'Home;Créatrice de bijoux;60c rue d'epron Caen (14000);0602349791;http://sarahome.fr/
Le Bureau de Céline;secrétaire;Castelsarrasin (82100);0664924509;http://www.lebureaudeceline.com
Latraduction.fr;Traducteur Interprete;92 bd du Gal de Gaulle Roubaix (59100);0320470131;http://Www.latraduction.fr
Consult@line Services;Formatrice consultante N.T.I.C.- Conseillère en Evolution Professionnelle  VAE -Bilans de compétences et intermédiaires Ingénierie de la formation - Management de projets Travail, Formation et Vie Quotidienne CONSULT@LINE - Bureau d'études spécialisées;35, aveune Jules Vallès Vauréal (95490);0641307966;
BioLogin;Professeur en soutien scolaire;Tours (37000);0660329526;https://biologin5.webnode.fr
Raphaelle Baut;Création de site web et de communication digitale;8 rue de Belfort Soppe-le-Haut (68780);0684191408;https://www.raphaelle-baut.fr/
Ms Manai;électricien;131 boulevard des acacias Toulon (83100);0668521756;
SECRETARIAT DES BAOUS;Secrétaire administrative et commerciale;Saint-Jeannet (06640);0621772475;
Metaphora Traduction;Rédacteur Web, traducteur anglais français;Halluin (59250);0670878075;http://www.metaphora-traduction.fr/
Eric SOTY;Formateur Bureautique;10 BIS CHEMIN CRET DE MONTCHER Lentilly (69210);0616955795;http://www.formation-informatique-69.fr/
Didier CHAVANE Consultant;Conseil et Formation en Gestion Comptable et Bureautique;Vourles (69390);0619813560;http://relaiscomptagestion.e-monsite.com/
Camille Duvigneau;Psychothérapeute;Yvonne Bourg-la-Reine (92340);0676386449;
Jacques ginguene - Photographe;Photographe;Retiers (35240);0627582462;http://www.jacques-ginguene.com
Web Solutis;Consulting digital, réalisation de sites internet;Nîmes (30900);;http://bertrandledieu.com
A. OFFICE GESTION WEB;Secrétaire de Direction BTP;Rue des Vinaigriers Paris 10 (75010);0668328418;https://assist-secreteriat.com
Compose it;Aménagements extérieurs;8 rue des Marnes Nancray (25360);0644759124;http://www.compose-it25.fr
P.L.T. D.R Propreté;Contrat de nettoyage de vitrerie, tertiaire ainsi que la remise en état apres travaux.;Guémené-Penfao (44290);;
Jean-Claude ABRAHAM;Formateur généraliste indépendant;Eugène Varlin Saint-Étienne-du-Rouvray (76800);0611056941;http://sersalentre-monsitecom.e-monsite.com
ANGLAIS F2F;Professeur d'anglais;Neulliac (56300);06.34.42.19.93;https://www.anglais-face2face.fr
AC33 EURL;SECRETAIRE JURIDIQUE;1 rue Hubert Latham La Teste-de-Buch (33260);0683003961;http://www.acsecretariat33.com
Adm'Zen Services;Assistante administratif;74 IMPASSE BELLEFEUILLE Bollène (84500);0640839943;
EIM & Habitat btp;Rénovation-Peinture-Maçonnerie;3 BIS Georges Bourgoin Achères (78260);0661749965;
LE BOOLOT DE BOO;graphiste, maquettiste, créatrice;Saint-Dizier (52100);;https://www.leboolotdeboo.fr
Laurent Loiseleux;Informatique de gestion;22 chemin de Crouzas Mende (48000);0951389470;http://www.ingelo.eu
Atelier.lb;Couturiere D'ameublement;47 ROUTE DE BLAGNAC Toulouse (31200);0667952196;
David Mignot Photos;Photographe;Rue cotte cotte Grémonville (76970);;http://www.david-mignot-photos.fr
LG DOCUMENTATION;Gestion de l'information;Cesson (77240);0689851888;
Medic and Co - Corinne MOUNEYRES;Permanence téléphonique spécialisée pour chirurgiens-dentistes;Mont-de-Marsan (40000);0640959956;http://medicandco.fr/
Jennifer Wepierre;"Écrivain public agréée ; biographe certifiée.";Pont Leurgarster Lopérec (29590);0661456911;https://www.ecrivain-biographe.fr/
Lemoine;couverture;21 bis rue de saulzoir Verchain-Maugré (59227);0676845189;
Fluet Xavier;Professeur de français langue étrangère (FLE) en ligne;3 rue principale Famechon (62760);;
RENAN SAVIDAN;Développeur Web;10 rue de la Paix Paris 2 (75002);0756798482;https://renansavidan.com
Un vin dans la Ville;Conseiller en vins;31 rue Henri Gorjus Lyon (69004);0771797120;
Christophe Lailler;Graphiste, print, web, motion;6 rue du Général leclerc 3 résidence du stade Le Mesnil-le-Roi (78600);0681384242;http://www.toffti.fr
Claude FAVIER;Expert technique en bâtiment;Mareil-sur-Mauldre (78124);0680984267;http://www.expertises-batiment-diagnostics-immobilier-yvelines.fr
G.B.Equitation;Entraîneur de dressage;Versailles (78000);;http://www.gbequitation.ffe.com
XBV design;Design produit & graphique, photographie & retouche;Rambouillet (78120);;
CREAFUN;DESIGNER;Lyon (69000);;
Imfcréation;Plasticienne;6 rue des oliviers Vestric-et-Candiac (30600);;https://imfcreation.fr
Alexandra Neyret;sommelière;36 rue des carrières Grasse (06130);0662497922;
Raphaëlle Joubert;Rédaction d'entreprise;29 rue de l'Equerre Paris 19 (75019);0624157395;https://www.malt.fr/profile/raphaellejoubert
David JOUJOU;Développeur Web;14, avenue de Celle Meudon (92360);0662451408;
QUAL' ARMOR;Formatrice en Management de la qualité des produits et de la sécurité des personnes (Hygiène, HACCP, allergènes, Document Unique et l'évalaution des risques).;8 Rue François Marie Luzel Perros-Guirec (22700);0665732882;
S.E MOBILE animation de mariages & soirées;disc jockey;10 rue des alouettes Marcigny (71110);0679375090;http://s-e-mobile.fr
DashelevenSoft Eirl;Developpeur intégrateur web;10 rue Bobby sands Trappes (78190);0751021619;https://dashelevensoft.com
Auto-entrepreneur;Consultant en organisation;3 rue Dageau Paris 16 (75016);0611210495;http://www.linkedin.com/in/vincentguibert
l'Atelier du Numérique;Conseil en solutions numériques;74 rue de la république Margny-lès-Compiègne (60280);0622149465;http://latelierdunumerique.info
Emeline Fréville;Kinésiologue-formatrice-esthéticienne énergétique;97 rue du Châtelard Gap (05000);0634045538;
Dominique Mallèvre;Consultant expert en recrutement;Rosny-sous-Bois (93110);0641130727;
Ze Studio;Développeur web / dog walker / professeur de danse;Annecy (74000);0667573194;https://www.zestudio.net
Voyageurs Sans Frontières;Création de contenu;Montpellier (34000);0627372703;https://www.voyageurssansfrontieres.com
INTER DIAGNOSTIC;Diagnostiqueur Immobilier;14 rue de la Vaurière Lièpvre (68660);0698607665;
DAVID MORANDI;CONSEILS AUDIT FORMATION SECURITE SURETE SECOURISME;Vaires-sur-Marne (77360);;
Elia Trigodet;Animatrice e-commerce (animation de site Internet WordPress & community management);Digne-les-Bains (04000);;https://www.facebook.com/Elia.Trigodet.animatrice.e.commerce/
Le Laboratoire du Caméléon - Rachel BOULAY;Conseil Marketing - Profileuse de clientèle;Nantes (44000);06-75-36-54-87;http://laboducameleon.com/
les toits de micka;couvreur;Gueutteville-les-Grès (76460);0643099175;
éco-clean;entreprise de nettoyage;67 AVENUE SIMONE VEIL Nice (06200);0647949955;
Jerry's Event;Wedding & Event Planner (Organisateur d'évènements);Paris 6 (75006);06.111.444.28.;https://www.jerrysevent.com/
BS Events;Evénementiel, organisation d'événements d'entreprises, apporteur d'affaires, recherche gratuite des lieux pour vos événements d'entreprises;Nantes (44000);0640691347;https://www.bs-events.fr
dm-com;Responsable de communication freelance;55 Avenue Saint Jérôme Les Amandiers 2 - Bât E Aix-en-Provence (13100);0620769511;https://www.dm-com.fr
Brice Goulihi;Programmation informatique;13 avenue Pierre Curie Saint-Cyr-l'École (78210);+33659016323;https://fr.linkedin.com/in/brice-goulihi-21aa55b5
HARMONIES;praticienne en massage AMMA ASSIS en entreprises et événementiel;Taluyers (69440);0632767222;http://www.harmonies-massages.com
peinture et decor;peinture et decoration;12 rue gabriel perrier Pons (17800);0682038342;http://www.peinturedecor.vpweb.fr
Comm' With Me;Comm' With Me;16 rue Poutier Toulouse (31100);+33640609902;http://www.nathaliebathellier.fr
TachaJewels;Créatrice de bijoux fantaisie;Redessan (30129);;https://tachajewels.eproshopping.fr/
JEAN-LUC GIL Terrassement;Terrassement;1270 route de Mappe Saint-Antonin-du-Var (83510);0662901889;https://www.facebook.com/Jean-Luc-GIL-Terrassement-2261354237237096/
Médiasites;Création de sites internet & Hébergement;29 rue de la vendée Le Longeron (49710);0241460183;http://www.mediasites.fr
Erwan ERMEL;Développeur Web;28 rue de la république Panissières (42360);0621806819;https://www.deuxer.fr/
L.A. CONFIDENTIEL;Home & Office Organiser;94 impasse les bellevues Mougins (06250);0614461520;http://www.laconfidentiel.fr/
Réflexomax - Maxime Bansard;Réflexologue;39 bd de Magenta Paris 10 (75010);0766597788;https://www.reflexologie-combinee.net
www.moi-en-mieux.com;Librairie de Développement Personnel;Communay (69360);;https://www.moi-en-mieux.com
Phonestock;Vente de téléphones, smartphones et accessoires;Paris 20 (75020);;https://iphone.phonestock.fr
KARINE ROLAND;CONSEILS ET ASSISTANCE AUX ENTREPRISES;LES LONGSCHAMPS Saint-Pierre-des-Loges (61370);0651300307;
